VKDiffKfz;Verkehrszustand;qPFlink;qGFlink;qPNormal;qGNorml;qPTräge;qGTräge;vPFlink;vGFlink;vPNormal;vGNorml;vPTräge;vGTräge;kBGFlink;kBGNormal;kBGTräge;vst, MARZ;vst, NRW;vst,NRW, RDS;KKfzStoerfall;KKfzStoerfallG;VKfzStoerfallG;QKfzStoerfallG;VST, lokale Störfallerkennung
0,019647734;Freier Verkehr;54961;86880;72482;120672;143145;103287;65;82;75;97;95;83;1056;1243;1244;7;7;5;307;271,449514;109,3057331;29670,98814;2
-1;Freier Verkehr;202839;143973;134751;144557;163765;116318;128;105;100;106;107;89;1369;1363;1300;7;1;1;307;289,224757;107,8851343;31203,05175;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;7
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;7
-1;Freier Verkehr;371272;173794;223163;124424;124425;50370;182;131;144;118;119;100;1326;1050;506;4;1;1;307;153;118,7722278;18172,15085;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;7
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;7
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;7
0,186051088;Freier Verkehr;167088;78508;100654;56364;56364;23146;165;123;134;113;113;97;636;499;238;4;7;7;307;153;118,7722278;18172,15085;2
0,324436988;Freier Verkehr;159702;108131;140955;88595;95239;42682;173;143;160;132;135;108;758;671;395;4;1;7;307;230;112,6183816;25902,22777;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;7
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;7
-1;Freier Verkehr;521106;243717;313064;174370;174370;70348;207;143;159;127;127;103;1704;1373;683;4;1;1;307;153;118,7722278;18172,15085;2
-1;Freier Verkehr;166849;158339;210079;159419;176486;83678;77;97;106;111;114;98;1626;1441;855;4;1;1;307;230;112,6183816;25902,22777;2
-1;Freier Verkehr;265455;207532;252091;194017;221112;112665;130;115;118;116;121;103;1811;1668;1097;4;1;1;307;268,5;109,5414585;29411,88162;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;7
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;7
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;7
-0,027446583;Freier Verkehr;63662;30243;38598;21888;21888;9356;112;99;102;96;96;90;306;229;103;5;7;7;307;153;118,7722278;18172,15085;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;7
-1;Freier Verkehr;212454;99679;127873;71486;71486;29195;18;50;46;69;64;73;1986;1042;399;5;1;1;307;153;118,7722278;18172,15085;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;7
-1;Freier Verkehr;385290;180336;231575;129098;129098;52240;214;146;164;130;130;104;1231;997;502;4;1;1;307;153;118,7722278;18172,15085;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;7
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;7
-1;Freier Verkehr;306580;143604;184348;102860;102861;41745;82;85;84;86;85;86;1697;1199;485;5;1;1;307;153;118,7722278;18172,15085;2
-1;Freier Verkehr;32277;58154;84142;76433;88160;40259;143;112;119;105;105;94;518;729;430;7;1;1;149;151,4;118,9000999;18001,47512;2
-1;Freier Verkehr;90758;75784;87275;79886;95331;48875;60;79;82;91;91;87;956;875;563;7;1;1;307;229,2;112,6823177;25826,78721;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;7
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;7
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;7
-1;Freier Verkehr;164200;77160;98920;55400;55401;22761;32;57;54;72;68;76;1344;767;300;5;1;1;307;153;118,7722278;18172,15085;2
-1;Freier Verkehr;128535;93012;121476;77603;84131;38170;0;26;14;51;41;59;3594;1536;652;7;1;1;7,545172043;94,81806795;123,4221324;11702,64814;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;7
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;7
-1;Freier Verkehr;345586;161807;207752;115862;115863;46946;96;91;92;90;90;88;1774;1287;532;5;1;1;307;153;118,7722278;18172,15085;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;7
-1;Freier Verkehr;280390;131382;168634;94130;94131;38253;0;29;22;58;51;65;4469;1617;585;7;1;1;4,007887823;1,503943911;130,8798047;196,8358854;2
-1;Freier Verkehr;421781;252994;328718;199622;210798;91625;133;112;104;96;89;79;2253;2088;1161;7;1;1;307;154,251972;118,6721701;18305,41625;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;7
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;7
