VKDiffKfz;Verkehrszustand;qPFlink;qGFlink;qPNormal;qGNorml;qPTräge;qGTräge;vPFlink;vGFlink;vPNormal;vGNorml;vPTräge;vGTräge;kBGFlink;kBGNormal;kBGTräge;vst, MARZ;vst, NRW;vst,NRW, RDS;KKfzStoerfall;KKfzStoerfallG;VKfzStoerfallG;QKfzStoerfallG;VST, lokale Störfallerkennung
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;6
-0,394523659;Freier Verkehr;74897;34944;44978;24960;25018;9983;55;17;73;12;71;4;2032;2080;2377;6;6;6;15,74026469;7,370132346;130,4109784;961,1461705;2
0,201435937;Freier Verkehr;178367;98146;127216;75096;78132;33033;245;120;185;88;131;36;818;853;914;6;6;5;307;157,1850662;118,4377569;18616,64666;2
0,037319014;Freier Verkehr;47423;58258;77027;64372;72229;36084;220;155;220;129;169;63;376;499;573;6;6;4;298;227,5925331;112,8107866;25674,89267;2
-1;Freier Verkehr;198834;124871;152108;108896;120053;59551;22;73;106;99;143;60;1701;1104;993;6;6;6;307;267,2962665;109,637661;29305,73746;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;106;93;106;100;139;68;0;0;0;2;1;1;-1;-1;-1;-1;6
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;307;153;118,7722278;18172,15085;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;184;168,5;117,5334665;19804,38911;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;240;105;177;74;124;29;0;0;0;5;1;1;-1;-1;-1;-1;6
0,021990556;Freier Verkehr;52264;24383;31431;17416;17488;6966;252;161;236;130;173;60;152;134;115;6;6;6;172;85,5;124,1668332;10616,26424;2
0,700244589;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;218;151,75;118,8721279;18038,8454;2
-1;Freier Verkehr;5249;2438;3203;1742;1821;696;347;151;262;108;187;42;16;16;16;2;2;2;19;98,64999921;123,1158842;12145,38188;2
-0,042439604;Freier Verkehr;374103;175620;225907;125791;126055;50525;117;101;168;100;167;52;1732;1257;977;4;6;6;307;202,8249996;114,7902098;23282,32426;2
-1;Freier Verkehr;81630;93734;128574;104780;114765;55072;311;198;266;170;226;89;474;618;618;4;6;6;307;254,9124998;110,6273726;28200,30011;2
-1;Freier Verkehr;146490;119484;142222;117649;134581;70162;30;90;122;127;185;81;1328;927;863;4;6;6;307;280,9562499;108,5459541;30496,66419;2
-1;Freier Verkehr;131690;122659;138126;120835;142184;80933;0;36;31;85;135;64;3371;1416;1268;5;6;4;5,746936937;170,8725231;117,3438543;20050,84045;2
-1;Freier Verkehr;126930;123809;134330;122568;145493;89607;111;71;53;86;125;68;1741;1431;1313;6;6;6;307;238,9362615;111,9041949;26737,96998;2
-1;Freier Verkehr;121075;121851;127364;122086;144605;95958;319;183;197;158;189;101;666;771;952;6;6;4;307;272,9681308;109,1843652;29803,85207;2
-1;Freier Verkehr;355709;231057;265449;199973;220962;132338;0;42;41;98;125;73;5474;2045;1821;6;6;6;2,542947742;164,7980559;117,8293262;19418,04389;2
0,051797638;Freier Verkehr;14316;95518;108205;144637;167884;111127;295;160;166;154;178;100;596;937;1108;6;6;6;307;235,899028;112,1469308;26455,35197;2
0,019647734;Freier Verkehr;54961;86880;72496;120670;143329;103205;56;83;79;118;145;89;1043;1021;1154;6;6;4;307;271,449514;109,3057331;29670,98814;2
-1;Freier Verkehr;202839;143973;134760;144556;163911;116252;127;106;96;117;141;95;1356;1232;1227;6;6;6;307;289,224757;107,8851343;31203,05175;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;6
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;6
-1;Freier Verkehr;371782;173493;223091;123924;123956;49569;236;105;164;75;108;29;1646;1652;1686;5;6;6;307;153;118,7722278;18172,15085;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;6
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;6
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;6
0,186051088;Freier Verkehr;167605;78208;100600;55862;55917;22344;226;98;173;70;124;27;800;804;821;5;6;6;307;153;118,7722278;18172,15085;2
0,324436988;Freier Verkehr;160016;108041;141173;88345;95087;42041;268;165;244;132;179;61;654;671;694;6;6;5;307;230;112,6183816;25902,22777;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;6
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;6
-1;Freier Verkehr;521631;243416;313035;173868;173951;69547;290;124;230;88;171;35;1969;1976;2010;5;6;6;307;153;118,7722278;18172,15085;2
-1;Freier Verkehr;167247;158278;210265;159119;176353;83036;205;146;234;122;190;59;1082;1304;1410;6;6;4;307;230;112,6183816;25902,22777;2
-1;Freier Verkehr;265577;207514;252353;193867;221148;112152;134;130;193;124;185;72;1596;1563;1551;6;6;6;307;268,5;109,5414585;29411,88162;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;6
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;6
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;6
-0,027446583;Freier Verkehr;64185;29942;38565;21387;21466;8554;192;79;169;56;135;22;380;382;392;6;6;6;307;153;118,7722278;18172,15085;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;6
-1;Freier Verkehr;212978;99379;127841;70984;71063;28393;110;40;120;28;107;11;2466;2491;2629;6;6;6;307;153;118,7722278;18172,15085;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;6
-1;Freier Verkehr;385811;180035;231532;128596;128664;51438;291;126;221;90;158;35;1424;1429;1453;5;6;6;307;153;118,7722278;18172,15085;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;6
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;6
-1;Freier Verkehr;307105;143304;184321;102360;102445;40943;149;58;148;41;127;16;2479;2497;2591;6;6;6;307;153;118,7722278;18172,15085;2
-1;Freier Verkehr;32675;58094;84329;76132;88069;39698;246;137;222;106;171;47;424;718;848;6;6;6;149;151,4;118,9000999;18001,47512;2
-1;Freier Verkehr;90880;75766;87537;79736;95379;48426;57;77;124;88;141;50;984;902;971;6;6;4;307;229,2;112,6823177;25826,78721;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;6
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;6
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;6
-1;Freier Verkehr;164719;76860;98875;54900;54963;21959;94;35;100;24;88;9;2215;2241;2387;6;6;6;307;153;118,7722278;18172,15085;2
-1;Freier Verkehr;128849;92921;121700;77352;83985;37528;27;21;56;22;69;11;4354;3532;3424;6;6;5;7,545172043;94,81806795;123,4221324;11702,64814;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;6
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;6
-1;Freier Verkehr;346098;161506;207686;115362;115402;46144;152;65;118;46;87;18;2492;2508;2592;6;6;6;307;153;118,7722278;18172,15085;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;6
-1;Freier Verkehr;280904;131082;168575;93630;93678;37451;37;10;55;7;55;2;10000;10000;10000;6;6;6;4,007887823;1,503943911;130,8798047;196,8358854;2
-1;Freier Verkehr;422095;252904;328933;199372;210641;90984;213;102;157;74;109;30;2468;2676;3017;6;6;6;307;154,251972;118,6721701;18305,41625;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;6
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;6
